X,Y,gid,Name,description,X_ADDR,SHAPE_Length,FMEL_UPD_D,Region Name,Planning Area Name,Region Code,Subzone Name,Central Area Indicator,SHAPE,Y_ADDR,Subzone Code,INC_CRC,Subzone Number,SHAPE_Area,Planning Area Code,Field_1
103.822322,1.286511918,4,HENDERSON HILL,,26782.8261,3313.624904,12/5/14 21:26,CENTRAL REGION,BUKIT MERAH,CR,HENDERSON HILL,N,Polygon,29933.7651,BMSZ08,3775D82C5DDBEFBD,8,595428.886,BM,HENDERSON HILL
103.8171797,1.28773673,5,REDHILL,,26201.958,2825.594099,12/5/14 21:26,CENTRAL REGION,BUKIT MERAH,CR,REDHILL,N,Polygon,30005.7035,BMSZ03,85D9ABEF0A40678F,3,387429.44,BM,REDHILL
103.8095559,1.287682851,6,ALEXANDRA HILL,,25358.8208,4428.913436,12/5/14 21:26,CENTRAL REGION,BUKIT MERAH,CR,ALEXANDRA HILL,N,Polygon,29991.3842,BMSZ07,9D286521EF5E3B59,7,1030378.786,BM,ALEXANDRA HILL
103.8449452,1.289750772,8,CLARKE QUAY,,29253.2073,2208.619299,12/5/14 21:26,CENTRAL REGION,SINGAPORE RIVER,CR,CLARKE QUAY,Y,Polygon,30222.8645,SRSZ02,48661DC0FBA09F7A,2,290184.6527,SR,CLARKE QUAY
103.7983883,1.288607075,10,QUEENSWAY,,24168.3106,3454.239283,12/5/14 21:26,CENTRAL REGION,QUEENSTOWN,CR,QUEENSWAY,N,Polygon,30104.1768,QTSZ07,3580D2AFFBEE914C,7,631644.2893,QT,QUEENSWAY
103.8195218,1.292496243,12,ALEXANDRA NORTH,,26548.2507,2907.051461,12/5/14 21:26,CENTRAL REGION,BUKIT MERAH,CR,ALEXANDRA NORTH,N,Polygon,30519.3922,BMSZ06,4DC4BF8D86594CBF,6,293706.3988,BM,ALEXANDRA NORTH
103.8433419,1.274115904,22,ANSON,,29145.35,1586.100059,12/5/14 21:26,CENTRAL REGION,DOWNTOWN CORE,CR,ANSON,Y,Polygon,28466.7783,DTSZ10,4893F02202845C1D,10,103238.4821,DT,ANSON
103.8376351,1.293568512,14,INSTITUTION HILL,,28465.3999,2842.525505,12/5/14 21:26,CENTRAL REGION,RIVER VALLEY,CR,INSTITUTION HILL,Y,Polygon,30711.2179,RVSZ05,C3C22D1EE31757BD,5,392563.3398,RV,INSTITUTION HILL
103.6702222,1.259977565,16,JURONG ISLAND AND BUKOM,,13012.8805,68083.93647,12/5/14 21:26,WEST REGION,WESTERN ISLANDS,WR,JURONG ISLAND AND BUKOM,N,Polygon,27225.8674,WISZ01,699F7210FBF1AFA8,1,36707720.92,WI,JURONG ISLAND AND BUKOM
103.7192097,1.208015753,17,SUDONG,,15931.7586,24759.0658,12/5/14 21:26,WEST REGION,WESTERN ISLANDS,WR,SUDONG,N,Polygon,19579.069,WISZ03,F718C723E08FBD51,3,4207271.094,WI,SUDONG
103.7725384,1.202846392,18,SEMAKAU,,21206.3338,18703.68114,12/5/14 21:26,WEST REGION,WESTERN ISLANDS,WR,SEMAKAU,N,Polygon,20465.8075,WISZ02,E69207D4F76DEEA3,2,4963787.104,WI,SEMAKAU
103.8515857,1.24158367,19,SOUTHERN GROUP,,29815.09,25626.97719,12/5/14 21:26,CENTRAL REGION,SOUTHERN ISLANDS,CR,SOUTHERN GROUP,N,Polygon,23412.5866,SISZ02,5809FC547293EA2D,2,2206319.456,SI,SOUTHERN GROUP
103.8343228,1.248921888,20,SENTOSA,,27593.9393,17496.19374,12/5/14 21:26,CENTRAL REGION,SOUTHERN ISLANDS,CR,SENTOSA,N,Polygon,25813.3546,SISZ01,A6FCDC9C447952CB,1,4919132.37,SI,SENTOSA
103.8592956,1.271357161,23,STRAITS VIEW,,30832.9017,5277.760827,12/5/14 21:26,CENTRAL REGION,STRAITS VIEW,CR,STRAITS VIEW,Y,Polygon,28194.0843,SVSZ01,21451799CA1AB6EF,1,1127297.237,SV,STRAITS VIEW
103.8124062,1.268487255,24,MARITIME SQUARE,,25805.7867,13737.11618,12/5/14 21:26,CENTRAL REGION,BUKIT MERAH,CR,MARITIME SQUARE,N,Polygon,27911.4193,BMSZ01,C1AC31ABF9978DDB,1,2701634.34,BM,MARITIME SQUARE
103.8193503,1.281984447,35,BUKIT MERAH,,26360.799,3074.963235,12/5/14 21:26,CENTRAL REGION,BUKIT MERAH,CR,BUKIT MERAH,N,Polygon,29384.1429,BMSZ02,1C51019439A68700,2,411722.8226,BM,BUKIT MERAH
103.8485623,1.278496511,27,CECIL,,29730.1983,2116.094667,12/5/14 21:26,CENTRAL REGION,DOWNTOWN CORE,CR,CECIL,Y,Polygon,29011.3284,DTSZ08,65AA82AF6F4D925D,8,196619.8632,DT,CECIL
103.82721,1.278407232,28,KAMPONG TIONG BAHRU,,27335.8305,3304.060465,12/5/14 21:26,CENTRAL REGION,BUKIT MERAH,CR,KAMPONG TIONG BAHRU,N,Polygon,28979.7731,BMSZ11,CF28DD4E7898CC7B,11,365333.4262,BM,KAMPONG TIONG BAHRU
103.8573199,1.340756052,159,LORONG 8 TOA PAYOH,,30646.8429,3271.271192,12/5/14 21:26,CENTRAL REGION,TOA PAYOH,CR,LORONG 8 TOA PAYOH,N,Polygon,35893.1126,TPSZ05,4A20B4AB7C41B9D6,5,439646.7616,TP,LORONG 8 TOA PAYOH
103.7954908,1.27753463,30,PASIR PANJANG 2,,23692.6385,5797.231319,12/5/14 21:26,CENTRAL REGION,QUEENSTOWN,CR,PASIR PANJANG 2,N,Polygon,28894.4099,QTSZ14,C6E665749CEADED6,14,853206.5717,QT,PASIR PANJANG 2
103.8345213,1.279667176,32,SINGAPORE GENERAL HOSPITAL,,28147.221,2915.282048,12/5/14 21:26,CENTRAL REGION,BUKIT MERAH,CR,SINGAPORE GENERAL HOSPITAL,N,Polygon,29131.0368,BMSZ05,91630902E00FD7B9,5,533017.3907,BM,SINGAPORE GENERAL HOSPITAL
103.81091,1.282051516,33,DEPOT ROAD,,25244.2071,4281.172681,12/5/14 21:26,CENTRAL REGION,BUKIT MERAH,CR,DEPOT ROAD,N,Polygon,29407.094,BMSZ12,102DDFE3D40A95C9,12,442502.8276,BM,DEPOT ROAD
103.8487996,1.285166215,37,PHILLIP,,29706.7242,871.554888,12/5/14 21:26,CENTRAL REGION,DOWNTOWN CORE,CR,PHILLIP,Y,Polygon,29744.9079,DTSZ04,615D4EDDEF809F8E,4,39437.93527,DT,PHILLIP
103.8510526,1.283552783,38,RAFFLES PLACE,,29968.6175,1872.752161,12/5/14 21:26,CENTRAL REGION,DOWNTOWN CORE,CR,RAFFLES PLACE,Y,Polygon,29572.7618,DTSZ05,72107B11807074F4,5,188767.4897,DT,RAFFLES PLACE
103.8324348,1.283164502,40,TIONG BAHRU,,27785.672,3303.2149,12/5/14 21:26,CENTRAL REGION,BUKIT MERAH,CR,TIONG BAHRU,N,Polygon,29590.3951,BMSZ10,A0FB4B68155D164A,10,448127.5844,BM,TIONG BAHRU
103.8582054,1.282898379,41,BAYFRONT SUBZONE,,30806.2418,2897.126426,12/5/14 21:26,CENTRAL REGION,DOWNTOWN CORE,CR,BAYFRONT SUBZONE,Y,Polygon,29530.167,DTSZ12,197F5E664DA4D5E1,12,521200.5224,DT,BAYFRONT SUBZONE
103.8271267,1.283983562,42,TIONG BAHRU STATION,,27277.4698,2506.687919,12/5/14 21:26,CENTRAL REGION,BUKIT MERAH,CR,TIONG BAHRU STATION,N,Polygon,29607.0237,BMSZ04,91FFE927ABE3E4DB,4,350787.5614,BM,TIONG BAHRU STATION
103.8513672,1.301701643,54,BENCOOLEN,,29999.0626,1916.097548,12/5/14 21:26,CENTRAL REGION,ROCHOR,CR,BENCOOLEN,Y,Polygon,31594.594,RCSZ09,CF8BBFA03E1B0246,9,170664.3045,RC,BENCOOLEN
103.8358406,1.276082375,63,EVERTON PARK,,28333.5771,3776.683388,12/5/14 21:26,CENTRAL REGION,BUKIT MERAH,CR,EVERTON PARK,N,Polygon,28602.9926,BMSZ16,CF9CAD50B0D9A528,16,635704.0567,BM,EVERTON PARK
103.8499969,1.295788173,46,BRAS BASAH,,29793.0931,2348.657173,12/5/14 21:26,CENTRAL REGION,MUSEUM,CR,BRAS BASAH,Y,Polygon,30958.0952,MUSZ03,5A1130F73E65C2D7,3,223206.6032,MU,BRAS BASAH
103.8027907,1.293964749,49,MEI CHIN,,24651.0693,3580.442857,12/5/14 21:26,CENTRAL REGION,QUEENSTOWN,CR,MEI CHIN,N,Polygon,30651.134,QTSZ06,F15BD95C8778DC31,6,748683.9959,QT,MEI CHIN
103.910515,1.380849919,274,LORONG HALUS NORTH,,36619.2153,3930.096752,12/5/14 21:26,NORTH-EAST REGION,SENGKANG,NER,LORONG HALUS NORTH,N,Polygon,40404.6157,SESZ01,4A9FCDF7EAE9BEAE,1,924866.0165,SE,LORONG HALUS NORTH
103.7766505,1.296870576,51,NATIONAL UNIVERSITY OF S'PORE,,21688.9243,5625.416891,12/5/14 21:26,CENTRAL REGION,QUEENSTOWN,CR,NATIONAL UNIVERSITY OF S'PORE,N,Polygon,30930.1213,QTSZ11,247B3009E9665A6E,11,1755950.439,QT,NATIONAL UNIVERSITY OF S'PORE
103.7966478,1.302026685,64,TANGLIN HALT,,23925.4408,3556.229094,12/5/14 21:26,CENTRAL REGION,QUEENSTOWN,CR,TANGLIN HALT,N,Polygon,31512.7857,QTSZ04,5903D38684211B10,4,503220.7514,QT,TANGLIN HALT
103.8470161,1.284345078,39,CHINA SQUARE,,29509.6437,1605.279697,12/5/14 21:26,CENTRAL REGION,OUTRAM,CR,CHINA SQUARE,Y,Polygon,29646.4495,OTSZ04,B609DF5587626C8F,4,133006.936,OT,CHINA SQUARE
103.8567536,1.299232337,58,BUGIS,,30528.3347,2658.881648,12/5/14 21:26,CENTRAL REGION,DOWNTOWN CORE,CR,BUGIS,Y,Polygon,31278.4644,DTSZ01,E042FEB6C937D5A5,1,280174.7667,DT,BUGIS
