X,Y,Name,Region Name,Planning Area Name,Region Code,Central Area Indicator,Subzone Code,Planning Area Code
103.822322,1.286511918,HENDERSON HILL,CENTRAL REGION,BUKIT MERAH,CR,N,BMSZ08,BM
103.8171797,1.28773673,REDHILL,CENTRAL REGION,BUKIT MERAH,CR,N,BMSZ03,BM
103.8095559,1.287682851,ALEXANDRA HILL,CENTRAL REGION,BUKIT MERAH,CR,N,BMSZ07,BM
103.8449452,1.289750772,CLARKE QUAY,CENTRAL REGION,SINGAPORE RIVER,CR,Y,SRSZ02,SR
103.7983883,1.288607075,QUEENSWAY,CENTRAL REGION,QUEENSTOWN,CR,N,QTSZ07,QT
103.8195218,1.292496243,ALEXANDRA NORTH,CENTRAL REGION,BUKIT MERAH,CR,N,BMSZ06,BM
103.8433419,1.274115904,ANSON,CENTRAL REGION,DOWNTOWN CORE,CR,Y,DTSZ10,DT
103.8376351,1.293568512,INSTITUTION HILL,CENTRAL REGION,RIVER VALLEY,CR,Y,RVSZ05,RV
103.6702222,1.259977565,JURONG ISLAND AND BUKOM,WEST REGION,WESTERN ISLANDS,WR,N,WISZ01,WI
103.7192097,1.208015753,SUDONG,WEST REGION,WESTERN ISLANDS,WR,N,WISZ03,WI
103.7725384,1.202846392,SEMAKAU,WEST REGION,WESTERN ISLANDS,WR,N,WISZ02,WI
103.8515857,1.24158367,SOUTHERN GROUP,CENTRAL REGION,SOUTHERN ISLANDS,CR,N,SISZ02,SI
103.8343228,1.248921888,SENTOSA,CENTRAL REGION,SOUTHERN ISLANDS,CR,N,SISZ01,SI
103.8592956,1.271357161,STRAITS VIEW,CENTRAL REGION,STRAITS VIEW,CR,Y,SVSZ01,SV
103.8124062,1.268487255,MARITIME SQUARE,CENTRAL REGION,BUKIT MERAH,CR,N,BMSZ01,BM
103.8193503,1.281984447,BUKIT MERAH,CENTRAL REGION,BUKIT MERAH,CR,N,BMSZ02,BM
103.8485623,1.278496511,CECIL,CENTRAL REGION,DOWNTOWN CORE,CR,Y,DTSZ08,DT
103.82721,1.278407232,KAMPONG TIONG BAHRU,CENTRAL REGION,BUKIT MERAH,CR,N,BMSZ11,BM
103.8573199,1.340756052,LORONG 8 TOA PAYOH,CENTRAL REGION,TOA PAYOH,CR,N,TPSZ05,TP
103.7954908,1.27753463,PASIR PANJANG 2,CENTRAL REGION,QUEENSTOWN,CR,N,QTSZ14,QT
103.8345213,1.279667176,SINGAPORE GENERAL HOSPITAL,CENTRAL REGION,BUKIT MERAH,CR,N,BMSZ05,BM
103.81091,1.282051516,DEPOT ROAD,CENTRAL REGION,BUKIT MERAH,CR,N,BMSZ12,BM
103.8487996,1.285166215,PHILLIP,CENTRAL REGION,DOWNTOWN CORE,CR,Y,DTSZ04,DT
103.8510526,1.283552783,RAFFLES PLACE,CENTRAL REGION,DOWNTOWN CORE,CR,Y,DTSZ05,DT
103.8324348,1.283164502,TIONG BAHRU,CENTRAL REGION,BUKIT MERAH,CR,N,BMSZ10,BM
103.8582054,1.282898379,BAYFRONT SUBZONE,CENTRAL REGION,DOWNTOWN CORE,CR,Y,DTSZ12,DT
103.8271267,1.283983562,TIONG BAHRU STATION,CENTRAL REGION,BUKIT MERAH,CR,N,BMSZ04,BM
103.8513672,1.301701643,BENCOOLEN,CENTRAL REGION,ROCHOR,CR,Y,RCSZ09,RC
103.8358406,1.276082375,EVERTON PARK,CENTRAL REGION,BUKIT MERAH,CR,N,BMSZ16,BM
103.8499969,1.295788173,BRAS BASAH,CENTRAL REGION,MUSEUM,CR,Y,MUSZ03,MU
103.8027907,1.293964749,MEI CHIN,CENTRAL REGION,QUEENSTOWN,CR,N,QTSZ06,QT
103.910515,1.380849919,LORONG HALUS NORTH,NORTH-EAST REGION,SENGKANG,NER,N,SESZ01,SE
